Name,Interests,Department
Luba Golburt,Pushkin~Russian literature and art of the 18th and 19th centuries; Derzhavin~Turgenev; history and literature; historical novel,Department of Slavic Languages and Literatures
Lucas W. Davis,Energy and Environmental Economics,Haas School of Business
Lucia Jacobs,Cognitive and brain evolution~adaptive patterns in spatial memory~spatial navigation~cognitive sex differences and decision making,Department of Psychology
Luciano G. Moretto,chemistry~nuclear science~statistical and dynamical properties of nuclei~nuclear reactions~multifragmentation~thermal scaling~monovariant and bivariant regions,Department of Chemistry
Luke P. Lee,biophotonics~biophysics~bionanoscience~molecular imaging~single cell analysis~bio-nano interfaces~integrated microfluidic devices (iMD) for diagnostics and preventive personalized medicine,Department of Bioengineering
Lutgard C. De Jonghe,ceramic properties~advanced ceramics~silicon carbide~densification studies~microstructure development,Department of Materials Science and Engineering
Lydia Chavez,jounalism~reporting~writing,School of Journalism
Lydia Sohn,micro-nano engineering,Department of Mechanical Engineering
Lyn Hejinian,English~American literature~poetry writing~translation~modernist and postmodern literature~American postwar experimental literature~Gertrude Stein~the objectivists~language writing~Soviet Russian poetry~small press publishing~feminism,Department of English
Lynn C. Robertson,cognitive neuroscience~attention~psychology~representations of objects and space~visual search~binding mechanisms~perceptual organization in normal and neurological populations~functional hemisphere asymmetries~spatial deficits,Department of Psychology
Lynn Huntsinger,conservation biology~ecosystems~rangeland ecology and management~natural resources~Native American history~livestock,"Environmental Science, Policy &amp; Management"
Lynn Ingram,geophysics~geology~earth and planetary science~geography~stratigraphy with strontium isotopes~paleontological~paleoclimate~California climate change~paleosalinity~shellmounds~geochemical data~paleoclimatic and paleo-environmental reconstruction in aquatic environments using sedimentological,Department of Earth and Planetary Science~Department of Geography
M. Reza Alam,Theoretical Fluid Dynamics~Nonlinear Wave Mechanics~Ocean and Coastal Waves Phenomena~Ocean Renewable Energy (Wave~Tide and Offshore Wind Energy)~Nonlinear Dynamical Systems~Fluid Flow Control~ocean renewable energy,Department of Mechanical Engineering
M. Steven Fish,political science~post-Soviet politics~democratization regime change~general comparative politics~Russian revolution~communist and post-communist studies~democracy,Department of Physics
Maciej Zworski,mathematics~partial differential equations~mathematical physics~mathematical aspects of quantum mechanics~scattering theory~microlocal analysis,Department of Mathematics
Mahiko Suzuki,physics~chiral symmetry~particle theory~electroweak symmetry~supersymmetry~standard model of particle interaction~heavy quark symmetry~B meson physics~disoriented chiral condensate~semileptonic D and B decays,Department of Physics
Mairi McLaughlin,French linguistics~Italian linguistics~romance linguistics~translation studies~history of French~History of Italian~History of the Romance Languages~language contact~History of the Press~Speech Reporting,Department of French
Malcolm M. Feeley,criminal law~punishment~social policy,Boalt Hall School of Law
Malcolm Potts,public health~maternal and child health~health and social behavior,School of Public Health
Malo Hutson,urban and regional planning~community development~urban policy~population health,Department of City &amp; Regional Planning
Maneesh Agrawala,computer science~computer graphics~visualization~human computer interaction,Division of Computer Science/EECS
Marc A. Rieffel,mathematics~operator algebras~non-commutative geometry~non-commutative harmonic analysis~quantum geometry,Department of Mathematics
Marc Davis,astronomy~physical cosmology~large scale velocity fields~structure formation in the universe~maps of galactic dust,Department of Physics
Marc Hellerstein,plant biology~health and nutrition,College of Natural Resources~Department of Nutritional Sciences &amp; Toxicology
Marc Treib,architecture~East Asian studies~Japanese architecture and gardens,Department of Architecture
Marcia Linn,technology~learning~mathematics~science~education~science teaching~gender equity~design of learning environments,Graduate School of Education
Marcial Gonzalez,Chicano and Chicana literature~twentieth-century American ethnic literatures~theory of the novel~marxism~critical theory~farm worker social movements,Department of English
Marcin Majda,electrochemistry~analytical chemistry~electrode &amp; solution interfaces~electron tunneling~bioanalytical chemistry,Department of Chemistry
Marcus M. Opp,corporate finance~international finance~financial intermediation,Haas School of Business
Margaret (Penny) Dhaemers,architecture~electronic imaging~2D and 3D,Department of Architecture
Margaret Chowning,Mexico~history~gender~women~Latin America,College of Letters and Science
Margaret Conkey,anthropology~gender~archaeology~prehistoric art~hunter-gatherers~feminist perspectives~Paleolithic art~rock art,Department of Anthropology
Margaret Larkin,Near Eastern studies,Department of Near Eastern Studies
Margaret Lavinia Anderson,Germany 1860-1945~Kulturkampf~the Center Party (Zentrum)~19th century European Catholicism~the 19th century European Religious Revival~Democratisation more generally and comparatively~comparative elections and electoral politics~European (and esp. German) Relations with the late Ottoman Empire~Armenian Genocide,Department of History
Margaret Taylor,climate change~public policy~regulation~intellectual property~technology policy~environmental policy~engineering~environmental markets~environmental management~international R&amp;D policy~organizational behavior/learning~technological innovation,Goldman School of Public Policy
Margaret Weir,political science~political sociology~sociology~American political development~urban politics and policy~comparative studies of the welfare state~metropolitan inequalities~city-suburban politics in the United States,Department of Political Science
Margaretta Lovell,architecture~design~American art,Department of History of Art
Maria L. Ekstrand,India~AIDS prevention~medication adherence~AIDS stigma~vulnerable populations,School of Public Health
Maria Mavroudi,Byzantine studies,Department of History
Maria Nondorf,mergers~accounting~corporate financing activities~acquisitions employee stock options,Haas School of Business
Maria Paz Gutierrez,next-generation building systems~self-regulated facades~biologically inspired technologies~multifunctional materials,Department of Architecture
Marian Cleeves Diamond,environment~neuroanatomy~immune functions~hormones~mammalian forebrain structures~Cambodian orphanage~cerebral neocortex,Department of Integrative Biology
Mariane Ferme,Material culture and agrarian landscapes~gender~historical anthropology~Sierra Leone~contemporary Africa~political culture~transitional justice in post-conflict societies,Department of Anthropology
Marianne Constable,law and language~legal rhetoric and philosophy~social and political thought~Anglo-American legal history~Continental philosophy~law and society,Department of Rhetoric
Marika Kuzma,music~directing~conducting~choral conducting technique~choral literature~Slavic choral literature~art song literature~choral music.,Department of Music
Mario Barrera,theories of ethnicity~ethnic minority films,Department of Ethnic Studies
Marion Fourcade,culture~social theory~political sociology~economic sociology~comparative methods~knowledge and science,Department of Sociology
Marios Panagiotou,earthquake engineering~structural engineering~Earthquake-resilient Design~Computational Seismic Analysis~Large-scale Experimental Testing,Department of Civil and Environmental Engineering
Mariusz Wodzicki,analysis~mathematics~Non-commutative and algebraic geometry~K-theory,Department of Mathematics
Marjorie Shapiro,physics~particle physics~particle experiments~probing the most basic interactions in nature~quarks~leptons~collider detector~the atlas experiment~electroweak symmetry breaking~mass~design of the silicon strip detectors~pixel detectors,Department of Physics
Marjorie Shultz,health law~biomedical ethics and law~contracts law~race/gender and law,Boalt Hall School of Law
Mark A. Csikszentmihalyi,early China~Confucianism~Taoism~Daoism~Comparative Religion,Department of East Asian Languages and Cultures
Mark Berger,film studies~film production~film sound,Department of Film and Media
Mark Bevir,public policy~political theory~democratic theory~governance~Britain,Department of Political Science
Mark Blum,Buddhism~Japan~culture and society~modernization,Department of East Asian Languages and Cultures
Mark Brilliant,20th century U.S. history~with a focus on political economy~civil rights~education~law~and the west,Department of American Studies~Department of History
Mark Bukowinski,geophysics~earth and planetary sciences~planetary interiors~theoretical mineral physics~deep earth minerals~geochemical processes~thermal and chemical evolution,Department of Earth and Planetary Science
Mark D&#039;Esposito,cognitive neuroscience~psychology~working memory~frontal lobe function~functional MRI~neurology~brain imaging~dopamine,Helen Wills Neuroscience Institute
Mark Danner,Central America~politics~Balkans~foreign affairs~journalism~Haiti~documentaries,Department of English~School of Journalism
Mark Garman,financing~financial investment technology,Graduate School of Education
Mark Griffith,gender and sexuality~Greek literature and performance~Greek and Roman education~Greek tragedy and comedy~Hesiod and wisdom literature~ancient music,Department of Classics
Mark Haiman,mathematics~algebraic geometry~algebra~combinatorics~diagonal coinvariants~Hilbert schemes,Department of Mathematics
Mark Hansen,transportation economics~policy and planning~air transportation~public transportation,Department of Civil and Environmental Engineering
Mark Peterson,US/North America~Atlantic World~early modern history~religion~political economy,Department of History
Mark Richards,crustal deformation~earth &amp; planetary sciences~mantle convection~large-scale mantle structure~rotational dynamics &amp; gravity fields of terrestrial planets~history &amp; dynamics of global plate motions~igneous processes in the mantle and deep crust,Department of Earth and Planetary Science
Mark Rubinstein,derivatives~valuation of various exotic options~empirical tests of alternative option pricing models~history of the theory of investments,Haas School of Business
Mark S. Schlissel,biology~regulation of lymphocyte development~genetic transcription~chromatin structure~V(D)J recombination~T cell receptor genes~complex genetic loci~B cell development~bone marrow~lymphoid cells~leukemia~lymphoma,Department of Molecular &amp; Cell Biology
Mark S. T. Anderson,architecture~building design~BIM~integrated project delivery~building construction~school design~housing design~net zero energy desig~nurban design~building integrated modeling~IPD~design-build~prefabricated~modular~architecture in China~architecture in Japan~urban water,Department of Architecture
Mark Sandberg,silent film~late nineteenth-century visual culture~theater history~comedy~Scandinavian design~serial television~film historiography~Scandinavian film history~Henrik Ibsen~Norwegian literature~Nordic literary history,Department of Film and Media~Department of Scandinavian
Mark Stacey,environmental fluid mechanics~transport and mixing in stratified flows~dynamics of estuaries~lakes and the coastal ocean~interdisciplinary applications of environmental fluid mechanics,Department of Civil and Environmental Engineering
Mark Strovink,physics~discrete symmetries~particle experiments~absolute predictions fundamental tenets of the standard model~charge parity~nonconservation in K meson decay; establishment of upper limits on the quark charge radius~effects of gluon radiation,Department of Physics
Mark Tanouye,genetics~neuroanatomy~electrophysiology~mechanisms of nervous system structure and function~drosophila mutants,"Department of Environmental Science, Policy &amp; Management~Department of Molecular &amp; Cell Biology"
Mark Wilson,measurement~psychometrics~assessment~development of assessment resources~assessment systems,Graduate School of Education
Mark van der Laan,statistics~computational biology and genomics~censored data and survival analysis~medical research~inference in longitudinal studies,School of Public Health
Markus Pauly,cell walls~extracellular matrix~plants~polysaccharides~carbohydrates~lignin~nucleotide sugars~analytical carbohydrate chemistry~plant genomics~enzyme biochemistry,Department of Plant and Microbial Biology
Marla Feller,neurophysiology~developmental neuroscience,Department of Molecular &amp; Cell Biology
Martha L. Olney,economics~macroeconomics~discrimination~consumer credit~credit access~and advertising,Department of Economics
Marti Hearst,information retrieval~human-computer interaction~user interfaces~information visualization~web search~search user interfaces~empirical computational linguistics~natural language processing~text mining~social media,School of Information
Martin Banks,stereopsis~virtual reality~optometry~multisensory interactions~self-motion perception~vision~depth perception~displays~picture perception~visual ergonomics,Department of Psychology~Helen Wills Neuroscience Institute~School of Optometry
Martin H. Graham,computer systems~local area networks~instrumentation~biomedical signal processing~grounding~noise~crosstalk problems,Division of Electrical Engineering/EECS
Martin J. Wainwright,statistical machine learning~High-dimensional statistics~information theory~Optimization and algorithmss.,Division of Computer Science/EECS
Martin Jay,rhetoric~history~Marxist theory~European intellectual history~19th 20th century~visual discourse and culture,Department of History~Department of Rhetoric
Martin Lettau,finance~asset pricing~stocks~bonds,Haas School of Business
Martin M. Shapiro,constitutional law~comparative law~European law,Boalt Hall School of Law
Martin Olsson,algebraic geometry~arithmetic geometry,Department of Mathematics
Martin P. Head-Gordon,theoretical chemistry~electronic structure calculations~development of novel theories and algorithms~quantum mechanics,Department of Chemistry
Martin Sanchez-Jankowski,sociology of poverty~gangs and crime~sociology of violence~race and ethnic relations,Department of Sociology
Martin Schwartz,Near Eastern studies,Department of Near Eastern Studies
Martin White,cosmology~formation of structure in the universe~dark energy~expansion of the universe~cosmic microwave background~quasars~redshift surveys,Department of Astronomy~Department of Physics
Martyn Smith,cancer~genomics~toxicology~molecular epidemiology~exposome,School of Public Health
Marvalee H. Wake,development~evolution~systematics~amphibians~reproductive biology~vertebrate evolutionary morphology~fishes~reptiles~comparative analysis~biodiversity issues,Department of Integrative Biology
Marvin L. Cohen,nanoscience~semiconductors~nanotechnology~physics~condensed matter physics~new properties of condensed matter systems~superconductivity~applications of BCS theory~superluminal velocities,Department of Physics
Mary Ann Doane,feminist theory~semiotics~cinema~media~cultural theory~archaeology of media technology~poststructuralism,Department of Film and Media
Mary Ann Mason,law~social welfare~family and children policy,School of Social Welfare
Mary Ann Smart,staging of opera~19th-century music~opera~opera and politics~19th-century Italy~music and gender~singers and voices~Verdi~Wagner~Rossini~Donizetti~Bellini,Department of Music
Mary Comerio,disaster recovery~housing impacts in disasters~loss modeling~performance based design,Department of Architecture
Mary E. Power,freshwater ecology~food webs~trophic dynamics~northern California rivers~watersheds,Department of Integrative Biology
Mary Elizabeth Berry,Late medieval and early modern Japan,Department of History
Mary K. Firestone,soils~environmental policy~environmental science~policy &amp; management~wildlife~miicrobial biology,"Department of Environmental Science, Policy &amp; Management"
Mary K. Gaillard,elementary particle theory,Department of Physics
Mary M. Cavanaugh,violence,School of Social Welfare
Maryl Gearhart,science education~cognitive development~assessment and educational measurement~mathematics education~professional development for educators~teacher development,Graduate School of Education
Masayoshi Tomizuka,mechatronics~control systems theory~digital control~dynamic systems~mechanical vibrations~adaptive and optimal control~motion control,Department of Mechanical Engineering
Massimiliano Fratoni,nuclear reactor design~fuel cycle analysis~fusion reactors,Department of Nuclear Engineering
Massimo Mazzotti,history of science~History of Mathematics~social theory~science and society~STS.,Department of History
Matteo Garbelotto,forestry~microbial biology~plant biology~sudden oak death~plant pathology ecosystem sciences,"Department of Environmental Science, Policy &amp; Management"
Matthew B. Francis,materials chemistry~drug delivery~organic chemistry~Protein modification~artificial photosynthesis~water purification,Department of Chemistry
Matthew Potts,forest management~biofuels~plantation agriculture~land use planning~land use policy~biodiversity conservation~ecosystem services~tropical ecology~environmental economics,"Environmental Science, Policy &amp; Management"
Matthew Rabin,economics,Department of Economics
Matthew Tirrell,self-assembled structures for diagnostic and therapeutic applications; electrostatic self-assembly,Department of Bioengineering
Matthew Walker,plasticity~learning~memory~fMRI~emotion~sleep~EEG,Department of Psychology~Helen Wills Neuroscience Institute
Matthew Welch,biology~cell motility~the role of the actin cytoskeleton in cell locomotion~shape change~actin filament assembly~bacterial and viral pathogens,Department of Molecular &amp; Cell Biology
Maura Nolan,Chaucer~drama~Middle English literature~Gower~Lydgate~medieval~16th century~literary form~style,Department of English
Maureen C. Miller,medieval history,Department of History
Maurice Obstfeld,economics~monetary and fiscal remedies for deflation~open-market purchases in a liquidity trap~exchange rates~and monetary policy~international finance~open-economy macroeconomics~macroeconomic history,Department of Near Eastern Studies
Max Moritz,climate change~landscape ecology~fire ecology and management~ecosystem resilience~spatial modeling,"Department of Environmental Science, Policy &amp; Management"
Max Zuo-Jun Shen,logistics~supply chain design and management~inventory management~auction mechanism design,Department of Industrial Engineering &amp; Operations Research
Maximilian Auffhammer,climate change~social cost of carbon~econometrics~air pollution~environmental economics~energy economics,Department of Agricultural &amp; Resource Economics~International and Area Studies
Meir Dan-Cohen,criminal law~legal philosophy~moral philosophy~organizations~bureaucracy,Boalt Hall School of Law
Melvin A. Eisenberg,contracts~corporations,Boalt Hall School of Law
Meng C. Lin,contact lenses~vision~clinical trials (phase I - Phase IV)~clinical trial designs~tear film~biomedical devices~ocular surface,School of Optometry
Meredith Fowlie,industrial organization~energy markets~energy efficiency~market-based environmental regulation~renewable energy resources.,Department of Agricultural &amp; Resource Economics
Meredith Minkler,public health~health and social behavior~community health education,School of Public Health
"Merrill, J. Shanks",political science,Department of Political Science
Mia Fuller,anthropology~Italy~fascism~urban design~architecture~Italian colonialism,Department of Italian Studies
Michael (Miki) Lustig,medical imaging~MRI~compressed sensing,Division of Electrical Engineering/EECS
Michael A. Harrison,computer science~programming systems~multimedia authoring systems~and software environments,Division of Computer Science/EECS
Michael A. Lieberman,plasma-assisted materials processing~processing discharges,Division of Electrical Engineering/EECS
Michael A. Marletta,chemical biology~molecular biology~structure/function relationships in proteins~catalytic and biological properties of enzymes~cellular signaling~nitric oxide synthase~soluble guanylate cyclase~gas sensing~cellulose degradation~polysaccharide monooxygenases,Department of Chemistry~Department of Molecular &amp; Cell Biology
Michael B. Eisen,genomics~genome sequencing~bioinformatics~animal development,Department of Molecular &amp; Cell Biology
Michael Botchan,eukaryotic gene expression~drosophila chromosomes~papilloma viral DNA~chromosomal dynamics,Department of Molecular &amp; Cell Biology
Michael Buckland,information management~information retrieval~metadata~library services,School of Information
Michael Burawoy,sociology~Russia~capitalism~industrial workplaces~postcolonialism~socialism~global ethnography~Hungary,Department of Sociology
Michael Cassidy,traffic and transportation operations~traffic control,Department of Civil and Environmental Engineering
Michael Christ,mathematics~harmonic analysis~partial differential equations~complex analysis in several variables~spectral analysis of Schrodinger operators,Department of Mathematics
Michael Clancy,science education~cognitive development~educational software,Division of Computer Science/EECS
Michael Cooper,analysis~design~database management systems~implementation and evaluation of information systems~computer performance monitoring and evaluation~and library automation,School of Information
Michael Crommie,physics~electronic properties of atomic-scale structures at surfaces~atomic-scale structures~morphology and dynamics of mesoscopic systems~atomic manipulation~visualizing low dimensional electronic behavior,Department of Physics
Michael DeWeese,machine learning~computation~systems neuroscience~auditory cortex~neural coding,Department of Physics~Helen Wills Neuroscience Institute
Michael Dear,social theory~disability studies~urban theory~comparative urbanism,Department of City &amp; Regional Planning
Michael Franklin,large-scale distributed database systems~information filtering; mobile and pervasive computing; data streams~dissemination~and broadcast; DBMS architecture and performance evaluation,Division of Computer Science/EECS
Michael Freeling,genetics~genomics~plants~trends in evolution,Department of Plant and Microbial Biology
Michael Frenklach,silicon carbide~chemical kinetics; computer modeling; combustion chemistry; pollutant formation (NOx~soot); shock tube; chemical vapor deposition of diamond films; homogeneous nucleation of silicon~diamond powders; interstellar dust formation,Department of Mechanical Engineering
Michael G. Harris,optometry~vision science~cornea~contact lens development,School of Optometry
Michael Gastpar,neuroscience~sensor networks~information theory~communications~networks~signal processing~coding,Division of Electrical Engineering/EECS
Michael Hout,demography~sociology~social mobility~higher education policy,Department of Demography~Department of Sociology
Michael Hutchings,mathematics~low dimensional~symplectic topology~geometry,Department of Mathematics
Michael Iarocci,Spanish~literature,Department of Spanish and Portuguese
Michael J. Austin,strategic planning~social welfare~social service management~organizational development,School of Social Welfare
Michael J. Watts,Islam~development~Africa~social movements~political economy~political ecology~geography~South Asia~peasant societies~social and and cultural theory~U.S. agriculture~Marxian political economy,Department of Geography
Michael Jansson,economics~econometrics,Department of Economics
Michael Johns,Latin America~development~geography~culture of cities,Department of Geography
Michael Jordan,computer science~artificial intelligence~bioinformatics~statistics~machine learning~electrical engineering~applied statistics~optimization,Department of Statistics~Division of Computer Science/EECS
Michael Katz,antitrust~economics of networks industries~intellectual property licensing~privacy~telecommunications policy,Department of Economics~Haas School of Business
Michael Klass,statistics~mathematics~probability theory~combinatorics independent random variables~iterated logarithm~tail probabilities~functions of sums,Department of Statistics
Michael L. Anderson,health economics~environmental economics,Department of Agricultural &amp; Resource Economics
Michael Levine,regulation of enhancer-promoter interactions~gene networks~animal development and disease~drosophila embryo~immune response in drosophila larvae~differentiation of the notochord and heart in the sea squirt~whole-genome analysis,Department of Molecular &amp; Cell Biology
Michael Lucey,pragmatics~the novel~sexuality studies~comparative literature~French~French literature~nineteenth and twentieth centuries~British literature and culture~social and literary theory~cultural studies of music~studies of language in use~theories of practice~twentieth-century American literature.,Department of Comparative Literature~Department of French
Michael Manga,hydrogeology~fluid mechanics~geomorphology~earth &amp; planetary science~geological processes involving fluids~including problems in physical volcanology~geodynamics~dynamics of suspensions~flow &amp; transport in porous materials~percolation theory,Department of Earth and Planetary Science
Michael Mascuch,rhetoric~photography~autobiography~narrative and culture~media and society~documentation~early modern Britain,Department of Rhetoric
Michael N. Bates,air pollution~water pollution~environmental epidemiology~occupational epidemiology,School of Public Health
Michael Nachman,population genetics~evolution~genomics~mammalian evolution,Department of Integrative Biology
Michael Nacht,public policy~international relations~national security policy~public management,Goldman School of Public Policy
Michael Nylan,gender~history~East Asian studies~early China~the fifth century BC to the fifth century AD~with an emphasis on the sociopolitical context~aesthetic theories and material culture~belief,Department of History
Michael O&#039;Hare,public policy~quantitative methods~environmental policy~public management~arts policy,Goldman School of Public Policy
Michael Omi,Racial politics~racial theory~racial stratification~racial and ethnic categories and the U.S. Census~racist and anti-racist social movements.,Department of Ethnic Studies
Michael Pollan,agriculture~environment~obesity~science~nutrition~journalism~food~cooking~gardening,School of Journalism
Michael Ranney,Problem solving~knowledge representation &amp; reorganization~explanatory coherence &amp; inference~conceptual change~societal implications~science instruction~global climate change psychology~numeracy in journalism~naÃ¯ve/informal physics~computational models of cognition~perceptual-cognitive interactions~intelligent tutoring systems~understandings of biological evolution~Reasoning~qualitative &amp; quantitative thinking,Department of Psychology~Graduate School of Education
Michael Rape,cancer~protein degradation~siRNA~Berkeley Screening Center,Department of Molecular &amp; Cell Biology
Michael Reich,economics~training~pensions~living wages,Department of Economics
Michael Riemer,static evaluation~dynamic evaluation of soil properties~constitutive behavior of sands~liquefaction of unusual soils,Department of Civil and Environmental Engineering
Michael Rubenstein,English~20th century Anglophone literatures~globalization studies~postcolonial literatures and theories~Irish literature~James Joyce,Department of English
Michael Shapira,molecular biology~aging~host-pathogen interactions,Department of Integrative Biology
Michael Silver,cognitive neuroscience~pharmacology~learning~attention~visual perception~neuroimaging,Helen Wills Neuroscience Institute~School of Optometry
Michael Southworth,management~analysis~design~city and regional planning~landscape architecture~environmental planning~morphology of the post-industrial city~design of public space,Department of City &amp; Regional Planning~Landscape Architecture &amp; Environmental Planning
Michael Tarter,curve estimation~biostatistics~forecasting~data mining~antismoothing~biometrics~sampling,School of Public Health
Michael Wintroub,religion~ritual~social change~rhetoric~history of science~early modern cultural history~travel~identity formation~alterity~cross-cultural contact~popular and court culture~state-building~humanism~vernacular consciousness and literature~mater,Department of Rhetoric
Michael Yartsev,neuroscience~engineering,Department of Bioengineering
Michaela Mattes,International Conflict and Cooperation~Conflict Management~Domestic Politics and International Relations,Department of Political Science
Michel Laguerre,globalization~information technology~urban studies,Department of African American Studies
Michel Maharbiz,neural interfaces~bioMEMS~microsystems~MEMS~microsystems for the life sciences,Division of Electrical Engineering/EECS
Michelle Wilde Anderson,local government~land use~environmental law,Boalt Hall School of Law
Michi Taga,molecular biology~genetics~microbial biology~chemical biology~cofactors~nutrient exchange~microbial communities,Department of Plant and Microbial Biology
Miguel Altieri,agriculture~environmental science~pest management,"Environmental Science, Policy &amp; Management"
Milton Azevedo,linguistics~Spanish~Portuguese,Department of Spanish and Portuguese
Mimi R. Koehl,biomechanics~insects~invertebrate functional morphology~fluid dynamics~aerodynamics~marine animals~filtration~gliding vertebrates,Department of Integrative Biology
Mina Aganagic,particle physics,Department of Physics
Ming Gu,mathematics~scientific computing~numerical linear algebra~adaptive filtering~system and control theory~differential and integral equations,Department of Mathematics
Ming Hammond,molecular biology~biochemistry~organic chemistry~synthetic biology~chemical biology,Department of Chemistry~Department of Molecular &amp; Cell Biology
Ming Hsu,cognitive neuroscience~experimental economics~behavioral economics~neuroeconomics,Haas School of Business
Ming Leung,Online Markets~Freelancing~hiring~Collective Production~Contract Labor,Haas School of Business
Ming Wu,micromachined micro-optics~optical MEMS (Micro-Electro-Mechanical Systems) or MOEMS~free-space integrated optics~high-speed optoelectronics~microwave photonics~high-power photodetectors~mode-locked semiconductor lasers,Division of Electrical Engineering/EECS
Minh-Ha Trinh,gender and sexuality~women&amp;amp;#039;s studies~rhetoric~feminist postcolonial theory~film theory and production~music composition~ethnomusicology~contemporary critical theory and the arts,Department of Gender and Women&#039;s Studies~Department of Rhetoric
Minoo Moallem,Transnational and Postcolonial Feminist Studies~cultural studies~Visual and Material Cultures of Religion~Immigration and Diaspora Studies~Middle East Studies~and Iranian Studies,Department of Gender and Women&#039;s Studies
Miquel Salmeron,molecules~lasers~atoms~materials science and engineering~matter~scanning~tunneling~atomic force microscopies~x-ray photoelectron spectroscopy,Department of Materials Science and Engineering
Miryam Sas,comparative literature~20th century avant-gardes~Japanese literature~film~theater and dance~contemporary art~critical theory~gender theory,Department of Comparative Literature~Department of Film and Media
Mitchell Breitwieser,American literature~philosophy and religion.,Department of English
Mohammad Mofrad,nuclear pore complex and nucleocytoplasmic transport~mechanobiology of disease~cellular mechanotransduction~integrin-mediated focal adhesions,Department of Bioengineering
Molly Van Houweling,intellectual property~technology policy,Boalt Hall School of Law
Montgomery Slatkin,evolutionary theory~genetic evolution~natural populations of plants and animals populations~human populations~natural selection structure genomes,Department of Integrative Biology
Morris Hirsch,game theory~dynamical systems~topology~biological models,nan
Morton D. Paley,British Romanticism~William Blake~literature and art,Department of English
Mostafa A. Foda,continental shelf water dynamics~seabed mechanics,Department of Civil and Environmental Engineering
Mu-Ming Poo,neurobiology~cellular and molecular mechanisms~axon guidance~synapse formation~activity-dependent refinement of neural circuits,Department of Molecular &amp; Cell Biology
Muhammad Siddiq,Near Eastern studies,Department of Near Eastern Studies
Munis D. Faruqui,Mughal India~Delhi Sultanate~Islam in South Asia/India~Urdu,Department of South and Southeast Asian Studies
Murat Arcak,control~energy~intelligent systems and robotics~biosystems and computational biology,Division of Electrical Engineering/EECS
N. Louise Glass,biofuels~biotechnology~fungal genetics~fungal cell biology,College of Natural Resources~Department of Plant and Microbial Biology
Nadia Ellis,Black diaspora literature and culture~queer studies~the city,Department of English
Nancy A. Van House,digital libraries~science~information management~technology studies~knowledge communities~user needs~information tools~artifacts~participation of users,School of Information
Nancy J. Chodorow,sociology~psychoanalytic theory/psychoanalytic sociology/clinical methods~feminist theory and methodology~psychoanalysis and feminism,Department of Sociology
Nancy Klein Amy,nutritional science and toxicology~nutrition~cell metabolism~trace elements,Department of Nutritional Sciences &amp; Toxicology
Nancy Lee Peluso,environmental policy~forestry~environmental studies~resource management and policy~rural development~environmental sociology~geopolitics of resource control~political ecology,"Environmental Science, Policy &amp; Management"
Nancy S. Padian,HIV~epidemiology~reproductive health~sexually transmitted infections~impact evaluation,School of Public Health
Nancy Scheper-Hughes,Critical medical anthropology~violence~genocide~inequality~marginality~childhood~family~psychiatry~deinstitutionalization~medical ethics~fieldwork ethics~globalization medicine~social/ political illness~disease~AIDS~Ireland~Brazil~cuba,Department of Anthropology
Nancy Wallace,housing price indices~real estate price dynamics~mortgage valuation models: prepayment and default~mortgage contract design~mortgage backed security trading and valuation~executive stock option valuation~and energy efficient mortgage underwriting,Haas School of Business
Natalia Brizuela,Spanish~Portuguese,Department of Spanish and Portuguese
Nathan Sayre,climate change~endangered species~rangelands~political ecology~pastoralism~ranching~environmental history~suburbanization~human-environment interactions~environmental geography~range science and management~Southwestern US~scale~community-based conservation,Department of Geography
Nathan W. Cheung,integrated circuit processing~electronic materials~plasma and ion beam processing~heterogeneous integration of microsystems,Division of Electrical Engineering/EECS
Ndola Prata,community-base access to care~maternal mortality~population and family planning~safe abortion~adolescent reproductive health in developing countries~postpartum hemorrhage,School of Public Health
Neil Fligstein,sociology,Department of Sociology
Neil Gilbert,social welfare~comparative welfare state analysis~child welfare~evaluation research~family policy~social security,School of Social Welfare
Neil Henry,race~Africa~urban society~journalism~newspapers~community reporting~journalistic values~foreign reporting~sports~fraud,School of Journalism
Neil Smelser,psychoanalysis~social theory~social change~social movements~economic sociology~comparative methods~sociology of education~terrorism,Department of Sociology
Neil Tsutsui,genetics~genomics~Argentine ants~honey bees~insect behavior~chemical ecology~pheromones,"Department of Environmental Science, Policy &amp; Management"
Nelson H. H. Graburn,social and cultural anthropology~kinship~art~tourism~Japan~circumpolar~China~Heritage~Inuit,Department of Anthropology
Nelson Maldonado Torres,phenomenology~religion~critical theory~postcolonial studies~modern religious thought~theories of decolonization~theory of epistemic~philosophical anthropology,Department of Ethnic Studies
Nelson Morgan,electrical engineering~redesign from first principles of the primary signal processing used in speech recognition systems~and the use of neural networks for the design of these new features,Division of Electrical Engineering/EECS
Nezar AlSayyad,virtual reality~urban history~Architectural history~Middle Eastern Studies~cross-cultural design~cities and cinema~cultural studies of the built environment~environmental design in developing countries~housing and urban development~Islamic architecture and urbanism~traditional dwelling and settlements~urban design and physical planning,Department of Architecture~Department of City &amp; Regional Planning
Nicholas Dirks,History and anthropology of South Asia~social and cultural theory~history of imperialism~historiography~cultural studies~globalization,Department of Anthropology~Department of History
Nicholas Ingolia,Ribosome Profiling~translation~genomics,College of Letters and Science~Department of Molecular &amp; Cell Biology
